ID,DESCRIPTION,Attribut1,Rated Current (A),Rated Voltage (V),Rated Voltage (VDC),Rated Breaking Capacity (A),Mounting,Application
A1529,"Voltguard Electric Fuse, Fast Blow, 10A, 63VAC, 250VDC, 10000A (IR), Blade",Fast Blow,10A,63V,250V,10000A,Blade,Consumer Electronics
A1530,"Voltguard Electric Fuse, PTC, 1A, 250VAC, 48VDC, 200A (IR), Through Hole",PTC,1A,250V,48V,200A,Through Hole,Industrial
A1531,"CircuitSafe Electric Fuse, HRC, 10A, 400VAC, 48VDC, 10000A (IR), Cartridge",HRC,10A,400V,48V,10000A,Cartridge,Automotive
A1532,"Voltguard Electric Fuse, Fast Blow, 1.5A, 250VAC, 250VDC, 1500A (IR), Through Hole",Fast Blow,1.5A,250V,250V,1500A,Through Hole,Automotive
A1533,"ProtecTech Electric Fuse, Slow Blow, 7A, 63VAC, 125VDC, 10000A (IR), Blade",Slow Blow,7A,63V,125V,10000A,Blade,Automotive
A1534,"Indicators PN Electric Fuse, Fast Blow, 30A, 32VAC, 150VDC, 35A (IR), Blade",Fast Blow,30A,32V,150V,35A,Blade,Telecom
A1535,"CircuitSafe Electric Fuse, Slow Blow, 0.5A, 400VAC, 24VDC, 50A (IR), Through Hole",Slow Blow,0.5A,400V,24V,50A,Through Hole,Automotive
A1536,"CircuitSafe Electric Fuse, Fast Blow, 25A, 300VAC, 24VDC, 35A (IR), Surface Mount",Fast Blow,25A,300V,24V,35A,Surface Mount,Power Supply
A1537,"Voltguard Electric Fuse, Resettable, 1A, 63VAC, 48VDC, 200A (IR), Panel Mount",Resettable,1A,63V,48V,200A,Panel Mount,Telecom
A1538,"CircuitSafe Electric Fuse, Time Lag Blow, 5A, 250VAC, 48VDC, 50A (IR), Surface Mount",Time Lag Blow,5A,250V,48V,50A,Surface Mount,Power Supply
A1539,"CircuitSafe Electric Fuse, Resettable, 15A, 32VAC, 24VDC, 35A (IR), Surface Mount",Resettable,15A,32V,24V,35A,Surface Mount,Power Supply
A1540,"Voltguard Electric Fuse, Slow Blow, 15A, 250VAC, 48VDC, 35A (IR), Through Hole",Slow Blow,15A,250V,48V,35A,Through Hole,Automotive
A1541,"AmpShield Electric Fuse, PTC, 7A, 63VAC, 60VDC, 10000A (IR), Cartridge",PTC,7A,63V,60V,10000A,Cartridge,Industrial
A1542,"Indicators PN Electric Fuse, Resettable, 30A, 32VAC, 125VDC, 50A (IR), Surface Mount",Resettable,30A,32V,125V,50A,Surface Mount,Industrial
A1543,"Indicators PN Electric Fuse, Time Lag Blow, 5A, 32VAC, 150VDC, 100A (IR), Surface Mount",Time Lag Blow,5A,32V,150V,100A,Surface Mount,Consumer Electronics
A1544,"ProtecTech Electric Fuse, Slow Blow, 20A, 63VAC, 48VDC, 200A (IR), Panel Mount",Slow Blow,20A,63V,48V,200A,Panel Mount,Consumer Electronics
A1545,"CircuitSafe Electric Fuse, Fast Blow, 25A, 250VAC, 48VDC, 10000A (IR), Cartridge",Fast Blow,25A,250V,48V,10000A,Cartridge,Power Supply
A1546,"Indicators PN Electric Fuse, Time Lag Blow, 1A, 125VAC, 125VDC, 10000A (IR), Cartridge",Time Lag Blow,1A,125V,125V,10000A,Cartridge,Consumer Electronics
A1547,"AmpShield Electric Fuse, Slow Blow, 1.5A, 400VAC, 48VDC, 100A (IR), Through Hole",Slow Blow,1.5A,400V,48V,100A,Through Hole,Telecom
A1548,"Voltguard Electric Fuse, Resettable, 10A, 32VAC, 24VDC, 1500A (IR), Blade",Resettable,10A,32V,24V,1500A,Blade,Consumer Electronics
A1549,"AmpShield Electric Fuse, Slow Blow, 5A, 63VAC, 48VDC, 200A (IR), Cartridge",Slow Blow,5A,63V,48V,200A,Cartridge,Consumer Electronics
A1550,"Voltguard Electric Fuse, PTC, 10A, 400VAC, 125VDC, 1500A (IR), Cartridge",PTC,10A,400V,125V,1500A,Cartridge,Industrial
A1551,"ProtecTech Electric Fuse, PTC, 7A, 300VAC, 125VDC, 1500A (IR), Panel Mount",PTC,7A,300V,125V,1500A,Panel Mount,Telecom
A1552,"ProtecTech Electric Fuse, HRC, 2A, 250VAC, 24VDC, 1500A (IR), Blade",HRC,2A,250V,24V,1500A,Blade,Power Supply
A1553,"Indicators PN Electric Fuse, Resettable, 30A, 63VAC, 250VDC, 35A (IR), Through Hole",Resettable,30A,63V,250V,35A,Through Hole,Consumer Electronics
A1554,"Indicators PN Electric Fuse, Fast Blow, 0.5A, 125VAC, 150VDC, 200A (IR), Through Hole",Fast Blow,0.5A,125V,150V,200A,Through Hole,Automotive
A1555,"AmpShield Electric Fuse, Time Lag Blow, 5A, 63VAC, 60VDC, 200A (IR), Through Hole",Time Lag Blow,5A,63V,60V,200A,Through Hole,Power Supply
A1556,"Voltguard Electric Fuse, Fast Blow, 2A, 63VAC, 24VDC, 10000A (IR), Through Hole",Fast Blow,2A,63V,24V,10000A,Through Hole,Automotive
A1557,"Indicators PN Electric Fuse, PTC, 30A, 32VAC, 250VDC, 200A (IR), Cartridge",PTC,30A,32V,250V,200A,Cartridge,Automotive
A1558,"Voltguard Electric Fuse, Resettable, 20A, 32VAC, 125VDC, 1500A (IR), Through Hole",Resettable,20A,32V,125V,1500A,Through Hole,Automotive
A1559,"AmpShield Electric Fuse, Time Lag Blow, 1.5A, 32VAC, 48VDC, 35A (IR), Surface Mount",Time Lag Blow,1.5A,32V,48V,35A,Surface Mount,Power Supply
A1560,"AmpShield Electric Fuse, Fast Blow, 1.5A, 250VAC, 250VDC, 50A (IR), Panel Mount",Fast Blow,1.5A,250V,250V,50A,Panel Mount,Consumer Electronics
A1561,"Indicators PN Electric Fuse, PTC, 30A, 125VAC, 125VDC, 10000A (IR), Surface Mount",PTC,30A,125V,125V,10000A,Surface Mount,Consumer Electronics
A1562,"Voltguard Electric Fuse, Fast Blow, 0.5A, 400VAC, 24VDC, 1500A (IR), Through Hole",Fast Blow,0.5A,400V,24V,1500A,Through Hole,Power Supply
A1563,"ProtecTech Electric Fuse, Slow Blow, 7A, 250VAC, 250VDC, 200A (IR), Panel Mount",Slow Blow,7A,250V,250V,200A,Panel Mount,Consumer Electronics
A1564,"Indicators PN Electric Fuse, HRC, 3A, 400VAC, 48VDC, 200A (IR), Through Hole",HRC,3A,400V,48V,200A,Through Hole,Consumer Electronics
A1565,"Indicators PN Electric Fuse, HRC, 7A, 63VAC, 250VDC, 50A (IR), Blade",HRC,7A,63V,250V,50A,Blade,Power Supply
A1566,"AmpShield Electric Fuse, Fast Blow, 7A, 63VAC, 250VDC, 1500A (IR), Panel Mount",Fast Blow,7A,63V,250V,1500A,Panel Mount,Automotive
A1567,"Indicators PN Electric Fuse, PTC, 5A, 400VAC, 250VDC, 200A (IR), Blade",PTC,5A,400V,250V,200A,Blade,Industrial
A1568,"Indicators PN Electric Fuse, Time Lag Blow, 25A, 250VAC, 48VDC, 100A (IR), Surface Mount",Time Lag Blow,25A,250V,48V,100A,Surface Mount,Automotive
A1569,"ProtecTech Electric Fuse, Time Lag Blow, 20A, 125VAC, 24VDC, 50A (IR), Cartridge",Time Lag Blow,20A,125V,24V,50A,Cartridge,Industrial
A1570,"ProtecTech Electric Fuse, Slow Blow, 1A, 63VAC, 150VDC, 35A (IR), Cartridge",Slow Blow,1A,63V,150V,35A,Cartridge,Industrial
A1571,"ProtecTech Electric Fuse, Fast Blow, 25A, 32VAC, 48VDC, 100A (IR), Surface Mount",Fast Blow,25A,32V,48V,100A,Surface Mount,Power Supply
A1572,"CircuitSafe Electric Fuse, Slow Blow, 20A, 250VAC, 24VDC, 35A (IR), Cartridge",Slow Blow,20A,250V,24V,35A,Cartridge,Automotive
A1573,"AmpShield Electric Fuse, Slow Blow, 5A, 125VAC, 125VDC, 1500A (IR), Through Hole",Slow Blow,5A,125V,125V,1500A,Through Hole,Consumer Electronics
A1574,"AmpShield Electric Fuse, Resettable, 5A, 63VAC, 250VDC, 10000A (IR), Surface Mount",Resettable,5A,63V,250V,10000A,Surface Mount,Consumer Electronics
A1575,"AmpShield Electric Fuse, Resettable, 15A, 32VAC, 150VDC, 50A (IR), Surface Mount",Resettable,15A,32V,150V,50A,Surface Mount,Power Supply
A1576,"Indicators PN Electric Fuse, PTC, 20A, 32VAC, 60VDC, 50A (IR), Through Hole",PTC,20A,32V,60V,50A,Through Hole,Telecom
A1577,"ProtecTech Electric Fuse, Resettable, 1A, 400VAC, 48VDC, 50A (IR), Through Hole",Resettable,1A,400V,48V,50A,Through Hole,Industrial
A1578,"Voltguard Electric Fuse, HRC, 30A, 300VAC, 250VDC, 1500A (IR), Cartridge",HRC,30A,300V,250V,1500A,Cartridge,Telecom
A1579,"Voltguard Electric Fuse, Time Lag Blow, 3A, 125VAC, 150VDC, 200A (IR), Surface Mount",Time Lag Blow,3A,125V,150V,200A,Surface Mount,Telecom
A1580,"Indicators PN Electric Fuse, Fast Blow, 20A, 300VAC, 24VDC, 50A (IR), Panel Mount",Fast Blow,20A,300V,24V,50A,Panel Mount,Telecom
A1581,"AmpShield Electric Fuse, Slow Blow, 1.5A, 125VAC, 150VDC, 35A (IR), Blade",Slow Blow,1.5A,125V,150V,35A,Blade,Automotive
A1582,"CircuitSafe Electric Fuse, Time Lag Blow, 1.5A, 125VAC, 48VDC, 35A (IR), Cartridge",Time Lag Blow,1.5A,125V,48V,35A,Cartridge,Power Supply
A1583,"AmpShield Electric Fuse, Time Lag Blow, 1A, 32VAC, 48VDC, 10000A (IR), Blade",Time Lag Blow,1A,32V,48V,10000A,Blade,Consumer Electronics
A1584,"Indicators PN Electric Fuse, Time Lag Blow, 10A, 400VAC, 48VDC, 35A (IR), Panel Mount",Time Lag Blow,10A,400V,48V,35A,Panel Mount,Telecom
A1585,"CircuitSafe Electric Fuse, Time Lag Blow, 3A, 250VAC, 125VDC, 1500A (IR), Through Hole",Time Lag Blow,3A,250V,125V,1500A,Through Hole,Telecom
A1586,"AmpShield Electric Fuse, HRC, 20A, 125VAC, 60VDC, 35A (IR), Blade",HRC,20A,125V,60V,35A,Blade,Power Supply
A1587,"ProtecTech Electric Fuse, Time Lag Blow, 25A, 32VAC, 150VDC, 10000A (IR), Surface Mount",Time Lag Blow,25A,32V,150V,10000A,Surface Mount,Industrial
A1588,"AmpShield Electric Fuse, Slow Blow, 1.5A, 32VAC, 60VDC, 200A (IR), Through Hole",Slow Blow,1.5A,32V,60V,200A,Through Hole,Power Supply
A1589,"AmpShield Electric Fuse, Slow Blow, 2A, 250VAC, 125VDC, 10000A (IR), Surface Mount",Slow Blow,2A,250V,125V,10000A,Surface Mount,Consumer Electronics
A1590,"Indicators PN Electric Fuse, PTC, 25A, 300VAC, 125VDC, 35A (IR), Surface Mount",PTC,25A,300V,125V,35A,Surface Mount,Industrial
A1591,"CircuitSafe Electric Fuse, PTC, 7A, 63VAC, 125VDC, 100A (IR), Surface Mount",PTC,7A,63V,125V,100A,Surface Mount,Consumer Electronics
A1592,"CircuitSafe Electric Fuse, HRC, 10A, 63VAC, 250VDC, 10000A (IR), Blade",HRC,10A,63V,250V,10000A,Blade,Automotive
A1593,"CircuitSafe Electric Fuse, PTC, 0.5A, 300VAC, 48VDC, 200A (IR), Through Hole",PTC,0.5A,300V,48V,200A,Through Hole,Industrial
A1594,"AmpShield Electric Fuse, HRC, 0.5A, 300VAC, 125VDC, 35A (IR), Cartridge",HRC,0.5A,300V,125V,35A,Cartridge,Telecom
A1595,"CircuitSafe Electric Fuse, Fast Blow, 0.5A, 63VAC, 24VDC, 10000A (IR), Blade",Fast Blow,0.5A,63V,24V,10000A,Blade,Consumer Electronics
A1596,"Indicators PN Electric Fuse, Resettable, 1.5A, 32VAC, 48VDC, 35A (IR), Cartridge",Resettable,1.5A,32V,48V,35A,Cartridge,Telecom
A1597,"Voltguard Electric Fuse, Time Lag Blow, 30A, 250VAC, 125VDC, 1500A (IR), Through Hole",Time Lag Blow,30A,250V,125V,1500A,Through Hole,Consumer Electronics
A1598,"CircuitSafe Electric Fuse, Slow Blow, 1A, 250VAC, 60VDC, 100A (IR), Through Hole",Slow Blow,1A,250V,60V,100A,Through Hole,Industrial
A1599,"CircuitSafe Electric Fuse, PTC, 10A, 250VAC, 150VDC, 10000A (IR), Through Hole",PTC,10A,250V,150V,10000A,Through Hole,Telecom
A1600,"Indicators PN Electric Fuse, Resettable, 20A, 250VAC, 24VDC, 1500A (IR), Panel Mount",Resettable,20A,250V,24V,1500A,Panel Mount,Industrial
A1601,"Indicators PN Electric Fuse, Resettable, 25A, 300VAC, 150VDC, 50A (IR), Cartridge",Resettable,25A,300V,150V,50A,Cartridge,Consumer Electronics
A1602,"CircuitSafe Electric Fuse, Fast Blow, 10A, 63VAC, 125VDC, 100A (IR), Surface Mount",Fast Blow,10A,63V,125V,100A,Surface Mount,Telecom
A1603,"Indicators PN Electric Fuse, HRC, 30A, 32VAC, 125VDC, 50A (IR), Blade",HRC,30A,32V,125V,50A,Blade,Power Supply
A1604,"ProtecTech Electric Fuse, Slow Blow, 2A, 400VAC, 48VDC, 200A (IR), Panel Mount",Slow Blow,2A,400V,48V,200A,Panel Mount,Industrial
A1605,"CircuitSafe Electric Fuse, PTC, 2A, 125VAC, 48VDC, 50A (IR), Panel Mount",PTC,2A,125V,48V,50A,Panel Mount,Automotive
A1606,"AmpShield Electric Fuse, Time Lag Blow, 0.5A, 125VAC, 60VDC, 1500A (IR), Surface Mount",Time Lag Blow,0.5A,125V,60V,1500A,Surface Mount,Telecom
A1607,"CircuitSafe Electric Fuse, PTC, 7A, 125VAC, 60VDC, 1500A (IR), Blade",PTC,7A,125V,60V,1500A,Blade,Power Supply
A1608,"ProtecTech Electric Fuse, Slow Blow, 1.5A, 250VAC, 125VDC, 100A (IR), Through Hole",Slow Blow,1.5A,250V,125V,100A,Through Hole,Power Supply
A1609,"ProtecTech Electric Fuse, Fast Blow, 15A, 250VAC, 125VDC, 100A (IR), Blade",Fast Blow,15A,250V,125V,100A,Blade,Consumer Electronics
A1610,"AmpShield Electric Fuse, Slow Blow, 1A, 32VAC, 24VDC, 10000A (IR), Surface Mount",Slow Blow,1A,32V,24V,10000A,Surface Mount,Power Supply
A1611,"ProtecTech Electric Fuse, Slow Blow, 10A, 400VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,10A,400V,150V,1500A,Surface Mount,Telecom
A1612,"AmpShield Electric Fuse, HRC, 0.5A, 400VAC, 60VDC, 200A (IR), Through Hole",HRC,0.5A,400V,60V,200A,Through Hole,Industrial
A1613,"AmpShield Electric Fuse, HRC, 7A, 32VAC, 48VDC, 200A (IR), Surface Mount",HRC,7A,32V,48V,200A,Surface Mount,Consumer Electronics
A1614,"Voltguard Electric Fuse, PTC, 25A, 400VAC, 250VDC, 200A (IR), Surface Mount",PTC,25A,400V,250V,200A,Surface Mount,Consumer Electronics
A1615,"Voltguard Electric Fuse, HRC, 3A, 125VAC, 250VDC, 100A (IR), Cartridge",HRC,3A,125V,250V,100A,Cartridge,Telecom
A1616,"ProtecTech Electric Fuse, Slow Blow, 7A, 32VAC, 24VDC, 35A (IR), Through Hole",Slow Blow,7A,32V,24V,35A,Through Hole,Consumer Electronics
A1617,"Voltguard Electric Fuse, Resettable, 20A, 125VAC, 60VDC, 50A (IR), Panel Mount",Resettable,20A,125V,60V,50A,Panel Mount,Telecom
A1618,"ProtecTech Electric Fuse, HRC, 7A, 63VAC, 150VDC, 10000A (IR), Blade",HRC,7A,63V,150V,10000A,Blade,Automotive
A1619,"CircuitSafe Electric Fuse, PTC, 1.5A, 400VAC, 125VDC, 10000A (IR), Through Hole",PTC,1.5A,400V,125V,10000A,Through Hole,Telecom
A1620,"Indicators PN Electric Fuse, HRC, 1.5A, 250VAC, 48VDC, 35A (IR), Through Hole",HRC,1.5A,250V,48V,35A,Through Hole,Power Supply
A1621,"CircuitSafe Electric Fuse, Resettable, 20A, 250VAC, 250VDC, 100A (IR), Panel Mount",Resettable,20A,250V,250V,100A,Panel Mount,Industrial
A1622,"Voltguard Electric Fuse, Fast Blow, 1A, 32VAC, 24VDC, 200A (IR), Surface Mount",Fast Blow,1A,32V,24V,200A,Surface Mount,Power Supply
A1623,"Indicators PN Electric Fuse, Slow Blow, 20A, 400VAC, 150VDC, 35A (IR), Panel Mount",Slow Blow,20A,400V,150V,35A,Panel Mount,Telecom
A1624,"Voltguard Electric Fuse, Resettable, 30A, 63VAC, 125VDC, 10000A (IR), Cartridge",Resettable,30A,63V,125V,10000A,Cartridge,Industrial
A1625,"CircuitSafe Electric Fuse, Resettable, 2A, 125VAC, 48VDC, 1500A (IR), Through Hole",Resettable,2A,125V,48V,1500A,Through Hole,Telecom
A1626,"Indicators PN Electric Fuse, Resettable, 0.5A, 125VAC, 24VDC, 50A (IR), Surface Mount",Resettable,0.5A,125V,24V,50A,Surface Mount,Power Supply
A1627,"CircuitSafe Electric Fuse, Slow Blow, 10A, 300VAC, 24VDC, 35A (IR), Through Hole",Slow Blow,10A,300V,24V,35A,Through Hole,Consumer Electronics
A1628,"Indicators PN Electric Fuse, Fast Blow, 1A, 32VAC, 125VDC, 100A (IR), Through Hole",Fast Blow,1A,32V,125V,100A,Through Hole,Telecom
A1629,"AmpShield Electric Fuse, PTC, 0.5A, 250VAC, 24VDC, 200A (IR), Surface Mount",PTC,0.5A,250V,24V,200A,Surface Mount,Industrial
A1630,"Indicators PN Electric Fuse, PTC, 5A, 400VAC, 125VDC, 50A (IR), Through Hole",PTC,5A,400V,125V,50A,Through Hole,Consumer Electronics
A1631,"CircuitSafe Electric Fuse, Fast Blow, 25A, 300VAC, 250VDC, 1500A (IR), Surface Mount",Fast Blow,25A,300V,250V,1500A,Surface Mount,Automotive
A1632,"ProtecTech Electric Fuse, Time Lag Blow, 10A, 300VAC, 150VDC, 1500A (IR), Surface Mount",Time Lag Blow,10A,300V,150V,1500A,Surface Mount,Industrial
A1633,"Indicators PN Electric Fuse, Resettable, 3A, 32VAC, 48VDC, 1500A (IR), Surface Mount",Resettable,3A,32V,48V,1500A,Surface Mount,Power Supply
A1634,"Indicators PN Electric Fuse, HRC, 15A, 63VAC, 48VDC, 100A (IR), Surface Mount",HRC,15A,63V,48V,100A,Surface Mount,Industrial
A1635,"CircuitSafe Electric Fuse, Time Lag Blow, 1.5A, 63VAC, 24VDC, 10000A (IR), Through Hole",Time Lag Blow,1.5A,63V,24V,10000A,Through Hole,Consumer Electronics
A1636,"AmpShield Electric Fuse, PTC, 2A, 32VAC, 60VDC, 10000A (IR), Panel Mount",PTC,2A,32V,60V,10000A,Panel Mount,Consumer Electronics
A1637,"Voltguard Electric Fuse, Resettable, 10A, 250VAC, 150VDC, 200A (IR), Through Hole",Resettable,10A,250V,150V,200A,Through Hole,Consumer Electronics
A1638,"ProtecTech Electric Fuse, Fast Blow, 25A, 400VAC, 60VDC, 200A (IR), Surface Mount",Fast Blow,25A,400V,60V,200A,Surface Mount,Power Supply
A1639,"AmpShield Electric Fuse, Time Lag Blow, 1.5A, 63VAC, 250VDC, 200A (IR), Blade",Time Lag Blow,1.5A,63V,250V,200A,Blade,Telecom
A1640,"AmpShield Electric Fuse, HRC, 30A, 125VAC, 60VDC, 1500A (IR), Surface Mount",HRC,30A,125V,60V,1500A,Surface Mount,Power Supply
A1641,"Voltguard Electric Fuse, PTC, 2A, 300VAC, 60VDC, 100A (IR), Surface Mount",PTC,2A,300V,60V,100A,Surface Mount,Telecom
A1642,"ProtecTech Electric Fuse, Slow Blow, 15A, 125VAC, 150VDC, 200A (IR), Cartridge",Slow Blow,15A,125V,150V,200A,Cartridge,Power Supply
A1643,"Voltguard Electric Fuse, Time Lag Blow, 7A, 32VAC, 24VDC, 50A (IR), Cartridge",Time Lag Blow,7A,32V,24V,50A,Cartridge,Telecom
A1644,"Voltguard Electric Fuse, Time Lag Blow, 2A, 32VAC, 48VDC, 10000A (IR), Cartridge",Time Lag Blow,2A,32V,48V,10000A,Cartridge,Consumer Electronics
A1645,"Voltguard Electric Fuse, Time Lag Blow, 1A, 32VAC, 60VDC, 10000A (IR), Surface Mount",Time Lag Blow,1A,32V,60V,10000A,Surface Mount,Consumer Electronics
A1646,"CircuitSafe Electric Fuse, PTC, 20A, 125VAC, 48VDC, 1500A (IR), Surface Mount",PTC,20A,125V,48V,1500A,Surface Mount,Telecom
A1647,"ProtecTech Electric Fuse, HRC, 2A, 300VAC, 48VDC, 35A (IR), Panel Mount",HRC,2A,300V,48V,35A,Panel Mount,Consumer Electronics
A1648,"CircuitSafe Electric Fuse, Resettable, 1A, 300VAC, 250VDC, 200A (IR), Blade",Resettable,1A,300V,250V,200A,Blade,Consumer Electronics
A1649,"AmpShield Electric Fuse, Fast Blow, 2A, 32VAC, 125VDC, 200A (IR), Surface Mount",Fast Blow,2A,32V,125V,200A,Surface Mount,Consumer Electronics
A1650,"AmpShield Electric Fuse, Slow Blow, 1A, 250VAC, 48VDC, 1500A (IR), Cartridge",Slow Blow,1A,250V,48V,1500A,Cartridge,Power Supply
A1651,"AmpShield Electric Fuse, Fast Blow, 20A, 32VAC, 60VDC, 35A (IR), Panel Mount",Fast Blow,20A,32V,60V,35A,Panel Mount,Automotive
A1652,"CircuitSafe Electric Fuse, Time Lag Blow, 1.5A, 250VAC, 24VDC, 1500A (IR), Panel Mount",Time Lag Blow,1.5A,250V,24V,1500A,Panel Mount,Automotive
A1653,"CircuitSafe Electric Fuse, Resettable, 0.5A, 32VAC, 125VDC, 35A (IR), Blade",Resettable,0.5A,32V,125V,35A,Blade,Consumer Electronics
A1654,"ProtecTech Electric Fuse, Time Lag Blow, 5A, 250VAC, 24VDC, 1500A (IR), Cartridge",Time Lag Blow,5A,250V,24V,1500A,Cartridge,Telecom
A1655,"CircuitSafe Electric Fuse, Slow Blow, 7A, 125VAC, 250VDC, 200A (IR), Blade",Slow Blow,7A,125V,250V,200A,Blade,Automotive
A1656,"Indicators PN Electric Fuse, HRC, 1A, 32VAC, 48VDC, 35A (IR), Surface Mount",HRC,1A,32V,48V,35A,Surface Mount,Industrial
A1657,"Voltguard Electric Fuse, Time Lag Blow, 30A, 400VAC, 125VDC, 50A (IR), Through Hole",Time Lag Blow,30A,400V,125V,50A,Through Hole,Automotive
A1658,"Indicators PN Electric Fuse, Resettable, 5A, 300VAC, 24VDC, 10000A (IR), Surface Mount",Resettable,5A,300V,24V,10000A,Surface Mount,Consumer Electronics
A1659,"AmpShield Electric Fuse, Slow Blow, 0.5A, 125VAC, 24VDC, 100A (IR), Cartridge",Slow Blow,0.5A,125V,24V,100A,Cartridge,Power Supply
A1660,"Voltguard Electric Fuse, Time Lag Blow, 30A, 63VAC, 48VDC, 1500A (IR), Blade",Time Lag Blow,30A,63V,48V,1500A,Blade,Automotive
A1661,"ProtecTech Electric Fuse, Time Lag Blow, 1.5A, 300VAC, 125VDC, 10000A (IR), Blade",Time Lag Blow,1.5A,300V,125V,10000A,Blade,Automotive
A1662,"CircuitSafe Electric Fuse, HRC, 2A, 300VAC, 125VDC, 10000A (IR), Blade",HRC,2A,300V,125V,10000A,Blade,Consumer Electronics
A1663,"CircuitSafe Electric Fuse, Resettable, 10A, 63VAC, 24VDC, 100A (IR), Cartridge",Resettable,10A,63V,24V,100A,Cartridge,Automotive
A1664,"Indicators PN Electric Fuse, HRC, 2A, 400VAC, 250VDC, 10000A (IR), Through Hole",HRC,2A,400V,250V,10000A,Through Hole,Automotive
A1665,"AmpShield Electric Fuse, PTC, 0.5A, 63VAC, 24VDC, 10000A (IR), Through Hole",PTC,0.5A,63V,24V,10000A,Through Hole,Telecom
A1666,"ProtecTech Electric Fuse, Fast Blow, 10A, 32VAC, 60VDC, 50A (IR), Panel Mount",Fast Blow,10A,32V,60V,50A,Panel Mount,Power Supply
A1667,"Indicators PN Electric Fuse, Time Lag Blow, 3A, 400VAC, 125VDC, 10000A (IR), Through Hole",Time Lag Blow,3A,400V,125V,10000A,Through Hole,Power Supply
A1668,"Voltguard Electric Fuse, Fast Blow, 2A, 125VAC, 125VDC, 200A (IR), Panel Mount",Fast Blow,2A,125V,125V,200A,Panel Mount,Power Supply
A1669,"ProtecTech Electric Fuse, PTC, 2A, 32VAC, 60VDC, 200A (IR), Through Hole",PTC,2A,32V,60V,200A,Through Hole,Consumer Electronics
A1670,"Indicators PN Electric Fuse, Resettable, 1A, 63VAC, 125VDC, 35A (IR), Surface Mount",Resettable,1A,63V,125V,35A,Surface Mount,Industrial
A1671,"CircuitSafe Electric Fuse, PTC, 1.5A, 125VAC, 24VDC, 200A (IR), Panel Mount",PTC,1.5A,125V,24V,200A,Panel Mount,Telecom
A1672,"Voltguard Electric Fuse, Time Lag Blow, 1A, 300VAC, 24VDC, 100A (IR), Blade",Time Lag Blow,1A,300V,24V,100A,Blade,Industrial
A1673,"CircuitSafe Electric Fuse, PTC, 15A, 250VAC, 150VDC, 100A (IR), Surface Mount",PTC,15A,250V,150V,100A,Surface Mount,Telecom
A1674,"CircuitSafe Electric Fuse, Time Lag Blow, 1A, 32VAC, 250VDC, 200A (IR), Blade",Time Lag Blow,1A,32V,250V,200A,Blade,Industrial
A1675,"AmpShield Electric Fuse, Fast Blow, 7A, 63VAC, 150VDC, 100A (IR), Panel Mount",Fast Blow,7A,63V,150V,100A,Panel Mount,Power Supply
A1676,"Voltguard Electric Fuse, HRC, 7A, 32VAC, 250VDC, 35A (IR), Through Hole",HRC,7A,32V,250V,35A,Through Hole,Automotive
A1677,"ProtecTech Electric Fuse, Slow Blow, 0.5A, 32VAC, 150VDC, 100A (IR), Through Hole",Slow Blow,0.5A,32V,150V,100A,Through Hole,Automotive
A1678,"AmpShield Electric Fuse, Slow Blow, 3A, 63VAC, 150VDC, 10000A (IR), Blade",Slow Blow,3A,63V,150V,10000A,Blade,Telecom
A1679,"Voltguard Electric Fuse, Slow Blow, 2A, 400VAC, 250VDC, 100A (IR), Blade",Slow Blow,2A,400V,250V,100A,Blade,Industrial
A1680,"Indicators PN Electric Fuse, Fast Blow, 5A, 400VAC, 60VDC, 10000A (IR), Panel Mount",Fast Blow,5A,400V,60V,10000A,Panel Mount,Consumer Electronics
A1681,"Voltguard Electric Fuse, Slow Blow, 1.5A, 300VAC, 250VDC, 1500A (IR), Blade",Slow Blow,1.5A,300V,250V,1500A,Blade,Consumer Electronics
A1682,"AmpShield Electric Fuse, Fast Blow, 5A, 400VAC, 24VDC, 50A (IR), Through Hole",Fast Blow,5A,400V,24V,50A,Through Hole,Consumer Electronics
A1683,"Voltguard Electric Fuse, Fast Blow, 0.5A, 400VAC, 125VDC, 200A (IR), Cartridge",Fast Blow,0.5A,400V,125V,200A,Cartridge,Automotive
A1684,"AmpShield Electric Fuse, Time Lag Blow, 1A, 63VAC, 250VDC, 35A (IR), Panel Mount",Time Lag Blow,1A,63V,250V,35A,Panel Mount,Consumer Electronics
A1685,"Indicators PN Electric Fuse, HRC, 0.5A, 250VAC, 48VDC, 200A (IR), Surface Mount",HRC,0.5A,250V,48V,200A,Surface Mount,Automotive
A1686,"Voltguard Electric Fuse, HRC, 25A, 125VAC, 48VDC, 1500A (IR), Panel Mount",HRC,25A,125V,48V,1500A,Panel Mount,Industrial
A1687,"CircuitSafe Electric Fuse, Slow Blow, 1A, 125VAC, 250VDC, 100A (IR), Blade",Slow Blow,1A,125V,250V,100A,Blade,Telecom
A1688,"Indicators PN Electric Fuse, HRC, 3A, 400VAC, 125VDC, 100A (IR), Cartridge",HRC,3A,400V,125V,100A,Cartridge,Telecom
A1689,"Indicators PN Electric Fuse, Time Lag Blow, 3A, 400VAC, 60VDC, 1500A (IR), Panel Mount",Time Lag Blow,3A,400V,60V,1500A,Panel Mount,Telecom
